"siteID","S_Training","E_Training","S_Testing","E_Testing"
"us5660",1981-01-01,2014-03-15,2014-03-16,2019-12-31
"us5661",1981-01-01,2014-03-16,2014-03-17,2019-12-31
"us5665",1981-01-01,2006-05-04,2006-05-05,2019-12-31
"us5666",1981-01-01,2005-10-25,2005-10-26,2019-12-31
"us5668",1981-01-01,2010-11-07,2010-11-08,2019-12-31
"us5669",1981-01-01,2013-05-21,2013-05-22,2019-12-31
"us5671",1981-01-01,2011-06-08,2011-06-09,2019-12-31
"us5672",1981-01-01,2012-08-23,2012-08-24,2019-12-31
"us5673",1981-01-01,2014-02-12,2014-02-13,2019-12-31
"us5674",1981-01-01,2013-01-30,2013-01-31,2019-12-31
"us5675",1981-01-01,2006-05-02,2006-05-03,2019-12-31
"us5676",1981-01-01,2013-12-01,2013-12-02,2019-12-31
"us5695",1981-01-01,1996-10-16,1996-10-17,2019-12-31
"us5699",1981-01-01,2013-08-12,2013-08-13,2019-12-31
"us5700",1981-01-01,2012-05-08,2012-05-09,2019-12-31
"us5702",1981-01-01,2010-06-30,2010-07-01,2019-12-31
"us5722",1981-01-01,2011-11-29,2011-11-30,2019-12-31
"us5725",1981-01-01,2011-11-29,2011-11-30,2019-12-31
"us5726",1981-01-01,2012-02-27,2012-02-28,2019-12-31
"us5727",1981-01-01,2014-04-07,2014-04-08,2019-12-31
"us5735",1981-01-01,2012-09-17,2012-09-18,2019-12-31
"us5736",1981-01-01,2014-07-08,2014-07-09,2019-12-31
"us5737",1981-01-01,2011-03-06,2011-03-07,2019-12-31
"us5739",1981-01-01,2007-06-12,2007-06-13,2019-12-31
"us5744",1981-01-01,2012-11-07,2012-11-08,2019-12-31
"us5765",1981-01-01,2013-03-29,2013-03-30,2019-12-31
"us5766",1981-01-01,2015-04-05,2015-04-06,2019-12-31
"us5796",1981-01-01,2015-08-31,2015-09-01,2019-12-31
"us5798",1981-01-01,2013-06-05,2013-06-06,2019-12-31
"us5837",1981-01-01,2005-08-02,2005-08-03,2019-12-31
"us5838",1981-01-01,2005-08-23,2005-08-24,2019-12-31
"us5839",1981-01-01,2005-01-20,2005-01-21,2019-12-31
"us5840",1981-01-01,2005-09-06,2005-09-07,2019-12-31
"us5841",1981-01-01,2005-09-06,2005-09-07,2019-12-31
"us5842",1981-01-01,2005-05-31,2005-06-01,2019-12-31
"us5843",1981-01-01,2005-11-20,2005-11-21,2019-12-31
"us5844",1981-01-01,2005-10-10,2005-10-11,2019-12-31
"us5847",1981-01-01,2014-05-21,2014-05-22,2019-12-31
"us5880",1981-01-01,2003-01-30,2003-01-31,2019-12-31
"us5902",1981-01-01,2010-05-23,2010-05-24,2019-12-31
"us5952",1981-01-01,2009-05-18,2009-05-19,2019-12-31
"us5955",1981-01-01,2013-03-29,2013-03-30,2019-12-31
"us5964",1981-01-01,2016-06-06,2016-06-07,2019-12-31
"us5965",1981-01-01,2012-07-09,2012-07-10,2019-12-31
"us6009",1981-01-01,2005-08-10,2005-08-11,2019-12-31
"us6012",1981-01-01,2016-11-28,2016-11-29,2019-12-31
"us6050",1981-01-01,2005-11-15,2005-11-16,2019-12-31
"us6077",1981-01-01,2005-10-18,2005-10-19,2019-12-31
"us6087",1981-01-01,2002-12-11,2002-12-12,2019-12-31
"us6091",1981-01-01,2014-04-13,2014-04-14,2019-12-31
"us6098",1981-01-01,2016-05-09,2016-05-10,2019-12-31
"us6099",1981-01-01,2013-12-03,2013-12-04,2019-12-31
"us6113",1981-01-01,2006-08-08,2006-08-09,2019-12-31
"us6122",1981-01-01,2007-12-02,2007-12-03,2019-12-31
"us6124",1981-01-01,2013-02-12,2013-02-13,2019-12-31
"us6128",1981-01-01,2007-12-12,2007-12-13,2019-12-31
"us6147",1981-01-01,2016-07-13,2016-07-14,2019-12-31
"us6155",1981-01-01,2015-01-26,2015-01-27,2019-12-31
"us6340",1981-01-01,2004-07-13,2004-07-14,2019-12-31
"us6342",1981-01-01,2002-04-16,2002-04-17,2019-12-31
"us6379",1981-01-01,2005-04-18,2005-04-19,2019-12-31
"us6390",1981-01-01,2002-02-11,2002-02-12,2019-12-31
"us6401",1981-01-01,1995-01-24,1995-01-25,2019-12-31
"us6403",1981-01-01,1997-03-27,1997-03-28,2019-12-31
"us6416",1981-01-01,2017-08-08,2017-08-09,2019-12-31
"us6494",1981-01-01,2002-11-06,2002-11-07,2019-12-31
"us6559",1981-01-01,2002-12-09,2002-12-10,2019-12-31
"us6598",1981-01-01,2012-05-28,2012-05-29,2019-12-31
"us6604",1981-01-01,2013-11-19,2013-11-20,2019-12-31
"us6606",1981-01-01,2014-09-24,2014-09-25,2019-12-31
"us6620",1981-01-01,2009-01-19,2009-01-20,2019-12-31
"us6636",1981-01-01,2007-06-13,2007-06-14,2019-12-31
"us6643",1981-01-01,2013-01-13,2013-01-14,2019-12-31
"us6659",1981-01-01,2009-11-03,2009-11-04,2019-12-31
"us6678",1981-01-01,2014-07-15,2014-07-16,2019-12-31
"us6681",1981-01-01,2013-10-21,2013-10-22,2019-12-31
"us6687",1981-01-01,2008-05-19,2008-05-20,2019-12-31
"us6691",1981-01-01,2008-11-24,2008-11-25,2019-12-31
"us6696",1981-01-01,2011-02-14,2011-02-15,2019-12-31
"us6697",1981-01-01,2013-02-11,2013-02-12,2019-12-31
"us6698",1981-01-01,2014-11-03,2014-11-04,2019-12-31
"us6699",1981-01-01,2013-12-02,2013-12-03,2019-12-31
"us6702",1981-01-01,2013-06-12,2013-06-13,2019-12-31
"us6729",1981-01-01,2011-12-05,2011-12-06,2019-12-31
"us6731",1981-01-01,2014-05-05,2014-05-06,2019-12-31
"us6767",1981-01-01,2013-11-11,2013-11-12,2019-12-31
"us6769",1981-01-01,2012-11-06,2012-11-07,2019-12-31
"us6776",1981-01-01,2012-09-05,2012-09-06,2019-12-31
"us6791",1981-01-01,2013-10-30,2013-10-31,2019-12-31
"us6798",1981-01-01,2013-08-19,2013-08-20,2019-12-31
"us6810",1981-01-01,2012-09-24,2012-09-25,2019-12-31
"us6812",1981-01-01,2008-09-02,2008-09-03,2019-12-31
"us6818",1981-01-01,2016-10-02,2016-10-03,2019-12-31
"us6820",1981-01-01,2013-05-19,2013-05-20,2019-12-31
"us6860",1981-01-01,2009-08-26,2009-08-27,2019-12-31
"us6862",1981-01-01,2011-09-13,2011-09-14,2019-12-31
"us6865",1981-01-01,2012-03-11,2012-03-12,2019-12-31
"us6867",1981-01-01,2012-05-16,2012-05-17,2019-12-31
"us6869",1981-01-01,2010-05-19,2010-05-20,2019-12-31
"us6871",1981-01-01,2009-07-07,2009-07-08,2019-12-31
"us6872",1981-01-01,2009-12-21,2009-12-22,2019-12-31
"us6875",1981-01-01,2011-10-18,2011-10-19,2019-12-31
"us6876",1981-01-01,2009-09-29,2009-09-30,2019-12-31
"us6877",1981-01-01,2013-04-22,2013-04-23,2019-12-31
"us6923",1981-01-01,2007-04-09,2007-04-10,2019-12-31
"us6928",1981-01-01,2012-04-01,2012-04-02,2019-12-31
"us6937",1981-01-01,2003-12-10,2003-12-11,2019-12-31
"us6943",1981-01-01,2001-11-13,2001-11-14,2019-12-31
"us6946",1981-01-01,2009-04-29,2009-04-30,2019-12-31
"us6949",1981-01-01,2015-11-12,2015-11-13,2019-12-31
"us6998",1981-01-01,2013-12-11,2013-12-12,2019-12-31
"us6999",1981-01-01,2012-10-29,2012-10-30,2019-12-31
"us7016",1981-01-01,2003-11-23,2003-11-24,2019-12-31
"us7028",1981-01-01,2006-05-03,2006-05-04,2019-12-31
"us7053",1981-01-01,2010-09-28,2010-09-29,2019-12-31
"us7101",1981-01-01,2004-08-30,2004-08-31,2019-12-31
"us7107",1981-01-01,2009-03-09,2009-03-10,2019-12-31
"us7113",1981-01-01,2005-08-30,2005-08-31,2019-12-31
"us7121",1981-01-01,2017-03-27,2017-03-28,2019-12-31
"us7125",1981-01-01,1999-11-29,1999-11-30,2019-12-31
"us7126",1981-01-01,2009-08-17,2009-08-18,2019-12-31
"us7204",1981-01-01,2015-01-12,2015-01-13,2019-12-31
"us7230",1981-01-01,2016-08-15,2016-08-16,2019-12-31
"us7232",1981-01-01,2015-06-08,2015-06-09,2019-12-31
"us7233",1981-01-01,2005-03-21,2005-03-22,2019-12-31
"us7370",1981-01-01,2011-07-06,2011-07-07,2019-12-31
"us7403",1981-01-01,2012-06-07,2012-06-08,2019-12-31
"us7405",1981-01-01,2014-03-16,2014-03-17,2019-12-31
"us7406",1981-01-01,2013-11-11,2013-11-12,2019-12-31
"us7408",1981-01-01,2013-11-11,2013-11-12,2019-12-31
"us7409",1981-01-01,2008-06-01,2008-06-02,2019-12-31
"us7411",1981-01-01,2008-03-05,2008-03-06,2019-12-31
"us7446",1981-01-01,2017-10-23,2017-10-24,2019-12-31
"us7560",1981-01-01,2013-12-18,2013-12-19,2019-12-31
"us7685",1981-01-01,2005-01-03,2005-01-04,2019-12-31
"us7833",1981-01-01,2002-09-04,2002-09-05,2019-12-31
"us7844",1981-01-01,2003-07-09,2003-07-10,2019-12-31
"us8236",1981-01-01,2016-11-20,2016-11-21,2019-12-31
"us8312",1981-01-01,2007-02-08,2007-02-09,2019-12-31
"us8531",1981-01-01,2015-04-26,2015-04-27,2019-12-31
"us8570",1981-01-01,2017-08-07,2017-08-08,2019-12-31
"us8577",1981-01-01,2016-07-12,2016-07-13,2019-12-31
"us8595",1981-01-01,2015-11-03,2015-11-04,2019-12-31
"us8645",1981-01-01,2006-09-12,2006-09-13,2019-12-31
"us8647",1981-01-01,2010-07-22,2010-07-23,2019-12-31
"us8869",1981-01-01,2014-12-16,2014-12-17,2019-12-31
"us8924",1981-01-01,2015-09-21,2015-09-22,2019-12-31
"us8928",1981-01-01,2012-06-18,2012-06-19,2019-12-31
"us8929",1981-01-01,2011-02-01,2011-02-02,2019-12-31
"us8930",1981-01-01,2006-06-18,2006-06-19,2019-12-31
"us8931",1981-01-01,2017-04-09,2017-04-10,2019-12-31
"us8933",1981-01-01,2011-05-16,2011-05-17,2019-12-31
"us8947",1981-01-01,2013-03-24,2013-03-25,2019-12-31
"us9062",1981-01-01,2012-10-10,2012-10-11,2019-12-31
"us9066",1981-01-01,2015-10-06,2015-10-07,2019-12-31
"la4",1981-01-01,2005-05-08,2005-05-09,2019-12-31
"la9",1981-01-01,2012-09-05,2012-09-06,2019-12-31
"la13",1981-01-01,2012-09-30,2012-10-01,2019-12-31
"la19",1981-01-01,2012-06-20,2012-06-21,2019-12-31
"la32",1981-01-01,2012-07-31,2012-08-01,2019-12-31
"la35",1981-01-01,2004-11-22,2004-11-23,2019-12-31
"la39",1981-01-01,2006-02-22,2006-02-23,2019-12-31
"la40",1981-01-01,2013-08-04,2013-08-05,2019-12-31
"la42",1981-01-01,2006-02-15,2006-02-16,2019-12-31
"la51",1981-01-01,2012-06-04,2012-06-05,2019-12-31
"la57",1981-01-01,2006-02-19,2006-02-20,2019-12-31
"la63",1981-01-01,2001-11-18,2001-11-19,2019-12-31
"la65",1981-01-01,2006-02-15,2006-02-16,2019-12-31
"la66",1981-01-01,2004-01-21,2004-01-22,2019-12-31
"la71",1981-01-01,2004-02-03,2004-02-04,2019-12-31
"la72",1981-01-01,2006-02-07,2006-02-08,2019-12-31
"la74",1981-01-01,2004-01-11,2004-01-12,2019-12-31
"la77",1981-01-01,2001-10-16,2001-10-17,2019-12-31
"la82",1981-01-01,2004-03-03,2004-03-04,2019-12-31
"la84",1981-01-01,2002-01-23,2002-01-24,2019-12-31
"la91",1981-01-01,2006-01-09,2006-01-10,2019-12-31
"la95",1981-01-01,2004-03-08,2004-03-09,2019-12-31
"la96",1981-01-01,2004-01-06,2004-01-07,2019-12-31
"la103",1981-01-01,2003-11-25,2003-11-26,2019-12-31
"la105",1981-01-01,2006-10-29,2006-10-30,2019-12-31
"la108",1981-01-01,2011-07-31,2011-08-01,2019-12-31
"la117",1981-01-01,2001-09-30,2001-10-01,2019-12-31
"la126",1981-01-01,2004-04-05,2004-04-06,2019-12-31
"la128",1981-01-01,2012-06-20,2012-06-21,2019-12-31
"la129",1981-01-01,2004-02-09,2004-02-10,2019-12-31
"la130",1981-01-01,2004-04-04,2004-04-05,2019-12-31
"la131",1981-01-01,2016-08-06,2016-08-07,2019-12-31
"la133",1981-01-01,2012-04-18,2012-04-19,2019-12-31
"la135",1981-01-01,2004-02-09,2004-02-10,2019-12-31
"la137",1981-01-01,2001-10-01,2001-10-02,2019-12-31
"la142",1981-01-01,2004-10-12,2004-10-13,2019-12-31
"la147",1981-01-01,2011-02-09,2011-02-10,2019-12-31
"la149",1981-01-01,2012-08-18,2012-08-19,2019-12-31
"la152",1981-01-01,2006-01-10,2006-01-11,2019-12-31
"la154",1981-01-01,2001-06-19,2001-06-20,2019-12-31
"la162",1981-01-01,2004-06-08,2004-06-09,2019-12-31
"la167",1981-01-01,2003-09-22,2003-09-23,2019-12-31
"la179",1981-01-01,2008-12-02,2008-12-03,2019-12-31
"la182",1981-01-01,2007-08-08,2007-08-09,2019-12-31
"la184",1981-01-01,2001-06-10,2001-06-11,2019-12-31
"la204",1981-01-01,2005-11-28,2005-11-29,2019-12-31
"la206",1981-01-01,2005-10-18,2005-10-19,2019-12-31
"la207",1981-01-01,2001-05-21,2001-05-22,2019-12-31
"la211",1981-01-01,2001-04-18,2001-04-19,2019-12-31
"la218",1981-01-01,2004-04-14,2004-04-15,2019-12-31
"la224",1981-01-01,2003-08-27,2003-08-28,2019-12-31
"la225",1981-01-01,2001-04-18,2001-04-19,2019-12-31
"la227",1981-01-01,2012-01-25,2012-01-26,2019-12-31
"la228",1981-01-01,2002-03-26,2002-03-27,2019-12-31
"la231",1981-01-01,2001-06-10,2001-06-11,2019-12-31
"la233",1981-01-01,2003-09-15,2003-09-16,2019-12-31
"la234",1981-01-01,2001-05-15,2001-05-16,2019-12-31
"la236",1981-01-01,2001-06-10,2001-06-11,2019-12-31
"la237",1981-01-01,2001-06-10,2001-06-11,2019-12-31
"la239",1981-01-01,2012-04-25,2012-04-26,2019-12-31
"la243",1981-01-01,2012-02-28,2012-02-29,2019-12-31
"la248",1981-01-01,2004-01-27,2004-01-28,2019-12-31
"la250",1981-01-01,2006-03-27,2006-03-28,2019-12-31
"la251",1981-01-01,2006-03-27,2006-03-28,2019-12-31
"la252",1981-01-01,2001-09-04,2001-09-05,2019-12-31
"la253",1981-01-01,2004-01-28,2004-01-29,2019-12-31
"la254",1981-01-01,2014-06-15,2014-06-16,2019-12-31
"la263",1981-01-01,2003-08-18,2003-08-19,2019-12-31
"la264",1981-01-01,2005-10-09,2005-10-10,2019-12-31
"la280",1981-01-01,2003-10-13,2003-10-14,2019-12-31
"la281",1981-01-01,2003-08-18,2003-08-19,2019-12-31
"la287",1981-01-01,2005-02-28,2005-03-01,2019-12-31
"la291",1981-01-01,2003-09-21,2003-09-22,2019-12-31
"la293",1981-01-01,2006-01-24,2006-01-25,2019-12-31
"la297",1981-01-01,2006-01-18,2006-01-19,2019-12-31
"la300",1981-01-01,2012-02-12,2012-02-13,2019-12-31
"la307",1981-01-01,2004-04-13,2004-04-14,2019-12-31
"la311",1981-01-01,2004-03-17,2004-03-18,2019-12-31
"la317",1981-01-01,2003-05-12,2003-05-13,2019-12-31
"la320",1981-01-01,2004-03-17,2004-03-18,2019-12-31
"la323",1981-01-01,2014-04-15,2014-04-16,2019-12-31
"la332",1981-01-01,2004-03-28,2004-03-29,2019-12-31
"la333",1981-01-01,2001-10-17,2001-10-18,2019-12-31
"la336",1981-01-01,2004-03-23,2004-03-24,2019-12-31
"la339",1981-01-01,2004-03-23,2004-03-24,2019-12-31
"la343",1981-01-01,2006-01-25,2006-01-26,2019-12-31
"la351",1981-01-01,2011-09-04,2011-09-05,2019-12-31
"la358",1981-01-01,2002-01-23,2002-01-24,2019-12-31
"la359",1981-01-01,2004-03-16,2004-03-17,2019-12-31
"la360",1981-01-01,2001-12-17,2001-12-18,2019-12-31
"la364",1981-01-01,2001-12-17,2001-12-18,2019-12-31
"la368",1981-01-01,2004-04-12,2004-04-13,2019-12-31
"la370",1981-01-01,2001-12-12,2001-12-13,2019-12-31
"la371",1981-01-01,2012-06-03,2012-06-04,2019-12-31
"la372",1981-01-01,2012-08-05,2012-08-06,2019-12-31
"la378",1981-01-01,2006-03-27,2006-03-28,2019-12-31
"la383",1981-01-01,2015-07-16,2015-07-17,2019-12-31
"la384",1981-01-01,2017-01-26,2017-01-27,2019-12-31
"la389",1981-01-01,2012-07-15,2012-07-16,2019-12-31
"la393",1981-01-01,2011-12-04,2011-12-05,2019-12-31
"la399",1981-01-01,2012-05-21,2012-05-22,2019-12-31
"la403",1981-01-01,2006-01-30,2006-01-31,2019-12-31
"la404",1981-01-01,2001-12-18,2001-12-19,2019-12-31
"la407",1981-01-01,2001-12-18,2001-12-19,2019-12-31
"la412",1981-01-01,2005-04-20,2005-04-21,2019-12-31
"la423",1981-01-01,2005-07-24,2005-07-25,2019-12-31
"la426",1981-01-01,2012-02-01,2012-02-02,2019-12-31
"la434",1981-01-01,2012-10-13,2012-10-14,2019-12-31
"la440",1981-01-01,2012-08-21,2012-08-22,2019-12-31
"la444",1981-01-01,2012-12-05,2012-12-06,2019-12-31
"la446",1981-01-01,2003-08-23,2003-08-24,2019-12-31
"la452",1981-01-01,2003-05-26,2003-05-27,2019-12-31
"la454",1981-01-01,2004-02-24,2004-02-25,2019-12-31
"la456",1981-01-01,2003-10-06,2003-10-07,2019-12-31
"la463",1981-01-01,2014-01-11,2014-01-12,2019-12-31
"la465",1981-01-01,2003-02-24,2003-02-25,2019-12-31
"la467",1981-01-01,2001-10-20,2001-10-21,2019-12-31
"la468",1981-01-01,2010-11-03,2010-11-04,2019-12-31
"la470",1981-01-01,2006-05-21,2006-05-22,2019-12-31
"la474",1981-01-01,2004-03-07,2004-03-08,2019-12-31
"la476",1981-01-01,2006-02-05,2006-02-06,2019-12-31
"la479",1981-01-01,2006-01-08,2006-01-09,2019-12-31
"la481",1981-01-01,2012-04-29,2012-04-30,2019-12-31
"la484",1981-01-01,2004-02-01,2004-02-02,2019-12-31
"la487",1981-01-01,2004-11-21,2004-11-22,2019-12-31
"la494",1981-01-01,2004-03-28,2004-03-29,2019-12-31
"la499",1981-01-01,2004-01-28,2004-01-29,2019-12-31
"la503",1981-01-01,2002-07-14,2002-07-15,2019-12-31
"la504",1981-01-01,2017-02-14,2017-02-15,2019-12-31
"la505",1981-01-01,2001-11-05,2001-11-06,2019-12-31
"la507",1981-01-01,2004-02-18,2004-02-19,2019-12-31
"la519",1981-01-01,2012-07-16,2012-07-17,2019-12-31
"la524",1981-01-01,2004-01-12,2004-01-13,2019-12-31
"la527",1981-01-01,2004-01-12,2004-01-13,2019-12-31
"la534",1981-01-01,2006-02-14,2006-02-15,2019-12-31
"la537",1981-01-01,2004-01-13,2004-01-14,2019-12-31
"la541",1981-01-01,2003-11-11,2003-11-12,2019-12-31
"la557",1981-01-01,2003-11-16,2003-11-17,2019-12-31
"la558",1981-01-01,2005-11-09,2005-11-10,2019-12-31
"la569",1981-01-01,2002-05-06,2002-05-07,2019-12-31
"la570",1981-01-01,2012-06-03,2012-06-04,2019-12-31
"la571",1981-01-01,2004-11-10,2004-11-11,2019-12-31
"la581",1981-01-01,2016-07-04,2016-07-05,2019-12-31
"la582",1981-01-01,2003-12-02,2003-12-03,2019-12-31
"la588",1981-01-01,2005-12-11,2005-12-12,2019-12-31
"la590",1981-01-01,2001-10-01,2001-10-02,2019-12-31
"la597",1981-01-01,2012-05-01,2012-05-02,2019-12-31
"la598",1981-01-01,2001-01-15,2001-01-16,2019-12-31
"la602",1981-01-01,2012-09-02,2012-09-03,2019-12-31
"la605",1981-01-01,2003-11-30,2003-12-01,2019-12-31
"la607",1981-01-01,2001-09-30,2001-10-01,2019-12-31
"la609",1981-01-01,2012-04-01,2012-04-02,2019-12-31
"la611",1981-01-01,2007-09-11,2007-09-12,2019-12-31
"la612",1981-01-01,2007-11-19,2007-11-20,2019-12-31
"la613",1981-01-01,2015-09-28,2015-09-29,2019-12-31
"la614",1981-01-01,2007-05-08,2007-05-09,2019-12-31
"la616",1981-01-01,2017-07-19,2017-07-20,2019-12-31
"la617",1981-01-01,2013-12-15,2013-12-16,2019-12-31
"la619",1981-01-01,2008-06-15,2008-06-16,2019-12-31
"la620",1981-01-01,2007-07-03,2007-07-04,2019-12-31
"la629",1981-01-01,2007-07-31,2007-08-01,2019-12-31
"la632",1981-01-01,2007-07-30,2007-07-31,2019-12-31
"la638",1981-01-01,2007-11-05,2007-11-06,2019-12-31
"la643",1981-01-01,2009-02-24,2009-02-25,2019-12-31
"la649",1981-01-01,2016-10-19,2016-10-20,2019-12-31
"la656",1981-01-01,2007-04-03,2007-04-04,2019-12-31
"la658",1981-01-01,2007-07-17,2007-07-18,2019-12-31
"la663",1981-01-01,2016-08-03,2016-08-04,2019-12-31
"la664",1981-01-01,2007-04-22,2007-04-23,2019-12-31
"la666",1981-01-01,2007-06-03,2007-06-04,2019-12-31
"la669",1981-01-01,2013-09-24,2013-09-25,2019-12-31
"la674",1981-01-01,2007-07-17,2007-07-18,2019-12-31
"la681",1981-01-01,2007-07-16,2007-07-17,2019-12-31
"la684",1981-01-01,2007-07-31,2007-08-01,2019-12-31
"la686",1981-01-01,2014-08-05,2014-08-06,2019-12-31
"la688",1981-01-01,2016-03-20,2016-03-21,2019-12-31
"la689",1981-01-01,2016-09-20,2016-09-21,2019-12-31
"la690",1981-01-01,2016-08-21,2016-08-22,2019-12-31
"la691",1981-01-01,2007-03-11,2007-03-12,2019-12-31
"la693",1981-01-01,2016-01-19,2016-01-20,2019-12-31
"la697",1981-01-01,2016-10-17,2016-10-18,2019-12-31
"la698",1981-01-01,2016-08-28,2016-08-29,2019-12-31
"la701",1981-01-01,2016-10-04,2016-10-05,2019-12-31
"la702",1981-01-01,2007-07-01,2007-07-02,2019-12-31
"la703",1981-01-01,2016-08-31,2016-09-01,2019-12-31
"la708",1981-01-01,2007-06-19,2007-06-20,2019-12-31
"la710",1981-01-01,2012-08-12,2012-08-13,2019-12-31
"la711",1981-01-01,2007-06-04,2007-06-05,2019-12-31
"la713",1981-01-01,2007-07-01,2007-07-02,2019-12-31
"la714",1981-01-01,2009-12-01,2009-12-02,2019-12-31
"la716",1981-01-01,2012-06-26,2012-06-27,2019-12-31
"la721",1981-01-01,2013-01-27,2013-01-28,2019-12-31
"la723",1981-01-01,2007-07-29,2007-07-30,2019-12-31
"la728",1981-01-01,2004-01-19,2004-01-20,2019-12-31
"la730",1981-01-01,2004-06-07,2004-06-08,2019-12-31
"la736",1981-01-01,2003-02-02,2003-02-03,2019-12-31
"la737",1981-01-01,2012-07-02,2012-07-03,2019-12-31
"la738",1981-01-01,2010-12-06,2010-12-07,2019-12-31
"la739",1981-01-01,2014-01-21,2014-01-22,2019-12-31
"la744",1981-01-01,2010-03-16,2010-03-17,2019-12-31
"la748",1981-01-01,2012-02-14,2012-02-15,2019-12-31
"la755",1981-01-01,2006-03-14,2006-03-15,2019-12-31
"la757",1981-01-01,2011-03-14,2011-03-15,2019-12-31
"la761",1981-01-01,2011-03-14,2011-03-15,2019-12-31
"la764",1981-01-01,2014-11-18,2014-11-19,2019-12-31
"la766",1981-01-01,2013-07-29,2013-07-30,2019-12-31
"la780",1981-01-01,2011-08-01,2011-08-02,2019-12-31
"la787",1981-01-01,2009-04-07,2009-04-08,2019-12-31
"la788",1981-01-01,2011-06-05,2011-06-06,2019-12-31
"la789",1981-01-01,2009-09-06,2009-09-07,2019-12-31
"la791",1981-01-01,2006-03-27,2006-03-28,2019-12-31
"la792",1981-01-01,2011-12-20,2011-12-21,2019-12-31
"la816",1981-01-01,2014-05-18,2014-05-19,2019-12-31
"la821",1981-01-01,2004-02-15,2004-02-16,2019-12-31
"la853",1981-01-01,2005-09-12,2005-09-13,2019-12-31
"la857",1981-01-01,2012-06-03,2012-06-04,2019-12-31
